Country;Constituency;Area;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Enfield North;London;London;Enfield;76824;2100;5600;300;1000;700;0;0;200
England;Epping Forest;Eastern;East of England;Essex;74553;4200;4000;1100;0;500;0;0;100
England;Epsom and Ewell;South East;South East;Surrey;76844;3000;2300;3500;700;400;0;0;100
England;Erewash;East Midlands;East Midlands;Derbyshire;71986;2800;4500;300;1600;600;0;0;000
England;Erith and Thamesmead;London;London;Greenwich;76728;1600;6000;400;900;800;0;0;300
England;Esher and Walton;South East;South East;Surrey;73280;2800;1100;4900;800;300;0;0;100
England;Exeter;South West;South West;Devon;71713;1400;5500;700;900;1400;0;0;100
England;Exmouth and Exeter East;South West;South West;Devon;74502;3400;2600;1600;1600;500;0;0;100
Scotland;Falkirk;Scotland;Scotland;Central;75067;1200;3500;400;500;400;3700;0;100
England;Fareham and Waterlooville;South East;South East;Hampshire;77036;3700;3100;1300;1300;500;0;0;000
England;Farnham and Bordon;South East;South East;Surrey;72938;3700;1700;3100;1100;400;0;0;000
England;Faversham and Mid Kent;South East;South East;Kent;71798;3400;3500;1000;1600;500;0;0;000
England;Feltham and Heston;London;London;Hounslow;75226;2200;5700;500;700;600;0;0;200
England;Filton and Bradley Stoke;South West;South West;Bristol area;73598;2600;5300;500;1000;500;0;0;0
England;Finchley and Golders Green;London;London;Barnet;75761;2900;4500;1200;600;500;0;0;200
England;Folkestone and Hythe;South East;South East;Kent;70023;3000;4300;500;1500;600;0;0;000
England;Forest of Dean;South West;South West;Gloucestershire;71510;2900;4000;700;1600;700;0;0;000
England;Frome and East Somerset;South West;South West;Somerset;70177;2800;3100;2000;1200;800;0;0;000
England;Fylde;North West;North West;Lancashire;75114;3600;4200;600;1200;400;0;0;000
England;Gainsborough;East Midlands;East Midlands;Lincolnshire;74750;3700;3300;900;1700;300;0;0;000
England;Gateshead Central and Whickham;North East;North East;Newcastle area;70994;1400;5900;400;1300;800;0;0;100
England;Gedling;East Midlands;East Midlands;Nottinghamshire;75795;2400;4800;300;1700;700;0;0;100
England;Gillingham and Rainham;South East;South East;Kent;73951;3100;4000;500;1800;400;0;0;100
Scotland;Glasgow East;Scotland;Scotland;Glasgow area;69748;500;4400;100;300;600;3800;0;300
Scotland;Glasgow North;Scotland;Scotland;Glasgow area;75236;400;4500;200;200;800;3500;0;300
Scotland;Glasgow North East;Scotland;Scotland;Glasgow area;73210;400;4700;100;300;500;3600;0;200
Scotland;Glasgow South;Scotland;Scotland;Glasgow area;70431;500;4400;200;300;900;3400;0;300
Scotland;Glasgow South West;Scotland;Scotland;Glasgow area;71344;500;4500;100;300;600;3700;0;300
Scotland;Glasgow West;Scotland;Scotland;Glasgow area;72499;500;4900;200;300;400;3400;0;200
England;Glastonbury and Somerton;South West;South West;Somerset;70015;3400;1500;3400;1100;500;0;0;0
Scotland;Glenrothes and Mid Fife;Scotland;Scotland;Fife;69734;800;4500;300;600;0;3800;0;0
England;Gloucester;South West;South West;Gloucestershire;76695;2800;4600;700;1400;400;0;0;100
England;Godalming and Ash;South East;South East;Surrey;71399;3400;1700;3300;1100;400;0;0;000
England;Goole and Pocklington;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;76337;3500;3800;700;1400;500;0;0;000
Scotland;Gordon and Buchan;Scotland;Scotland;Grampian;70238;3200;2100;1200;400;0;3000;0;0
England;Gorton and Denton;North West;North West;Central Manchester;74306;1100;6800;400;800;700;0;0;200
England;Gosport;South East;South East;Hampshire;73763;3900;3300;700;1400;500;0;0;000
Wales;Gower;Wales;Wales;West Glamorgan;76801;2000;4900;300;1700;300;600;0;000
England;Grantham and Bourne;East Midlands;East Midlands;Lincolnshire;72071;3600;3200;500;1800;700;0;0;000
England;Gravesham;South East;South East;Kent;72866;3300;3900;500;1600;500;0;0;0
England;Great Grimsby and Cleethorpes;Yorkshire and The Humber;Yorkshire and The Humber;Humber area;77050;2800;4400;500;1700;400;0;0;100
England;Great Yarmouth;Eastern;East of England;Norfolk;70077;2000;4300;200;2800;400;0;0;100
England;Greenwich and Woolwich;London;London;Greenwich;69824;1200;6000;900;500;1000;0;0;300
England;Guildford;South East;South East;Surrey;71367;2500;1600;3900;1500;400;0;0;100
England;Hackney North and Stoke Newington;London;London;Hackney;75401;700;6200;400;500;1800;0;0;300
England;Hackney South and Shoreditch;London;London;Hackney;75197;600;7500;400;300;1000;0;0;200
England;Halesowen;West Midlands;West Midlands;Black Country;69907;3200;4600;200;1600;300;0;0;0
England;Halifax;Yorkshire and The Humber;Yorkshire and The Humber;West Yorkshire;74563;2300;5100;600;1200;600;0;0;100
England;Hamble Valley;South East;South East;Hampshire;76902;3800;2400;1800;1300;600;0;0;000
Scotland;Hamilton and Clyde Valley;Scotland;Scotland;Ayrshire and Lanark;74577;1100;5100;200;500;0;3000;0;100
England;Hammersmith and Chiswick;London;London;Hammersmith and Fulham;74746;1600;5800;800;600;800;0;0;200
England;Hampstead and Highgate;London;London;Camden;74222;1400;5900;900;500;900;0;0;200
England;Harborough, Oadby and Wigston;East Midlands;East Midlands;Leicestershire;74810;3600;4000;800;1000;400;0;0;100
England;Harlow;Eastern;East of England;Essex;73479;3100;4100;400;1900;400;0;0;100
England;Harpenden and Berkhamsted;Eastern;East of England;Hertfordshire;71635;3100;1700;3700;900;500;0;0;000
England;Harrogate and Knaresborough;Yorkshire and The Humber;Yorkshire and The Humber;North Yorkshire;75800;3300;1800;3700;800;200;0;0;000
England;Harrow East;London;London;Harrow;76299;3600;4800;300;800;300;0;0;200
England;Harrow West;London;London;Harrow;74060;2000;6100;300;700;500;0;0;200
England;Hartlepool;North East;North East;Teesside;71228;1300;5400;300;2500;300;0;0;100
England;Harwich and North Essex;Eastern;East of England;Essex;74838;3200;3800;700;1600;600;0;0;0
England;Hastings and Rye;South East;South East;East Sussex;75581;2800;4900;300;1200;700;0;0;100
England;Havant;South East;South East;Hampshire;72766;3700;3100;900;1500;700;0;0;000
England;Hayes and Harlington;London;London;Hillingdon;72897;2200;5900;300;700;500;0;0;300
England;Hazel Grove;North West;North West;Eastern Manchester;72941;2600;2700;3300;900;300;0;0;000
England;Hemel Hempstead;Eastern;East of England;Hertfordshire;70496;2900;4200;600;1700;600;0;0;0
England;Hendon;London;London;Barnet;71496;2900;5000;300;900;600;0;0;200
England;Henley and Thame;South East;South East;Oxfordshire;70626;3200;1400;3800;900;500;0;0;000
England;Hereford and South Herefordshire;West Midlands;West Midlands;Hereford and Worcestershire;71125;3400;3300;1100;1500;500;0;0;000
England;Herne Bay and Sandwich;South East;South East;Kent;76028;3200;3500;900;1900;400;0;0;0
England;Hertford and Stortford;Eastern;East of England;Hertfordshire;75396;2800;4000;900;1500;700;0;0;000
England;Hertsmere;Eastern;East of England;Hertfordshire;73256;3400;3300;1000;1600;500;0;0;100
England;Hexham;North East;North East;Northumberland;72738;3800;5000;600;0;500;0;0;000
England;Heywood and Middleton North;North West;North West;Eastern Manchester;73306;2300;5500;400;1700;0;0;0;100
England;High Peak;East Midlands;East Midlands;Derbyshire;73960;2300;5900;200;1100;400;0;0;0
England;Hinckley and Bosworth;East Midlands;East Midlands;Leicestershire;75683;4000;2800;1200;1300;500;0;0;000
