Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Peterborough;Cambridgeshire North;73379;9;2528;1498;492;2696;1344;0;1328;115;Reform
Plymouth Moor View;Devon South;74691;10;1872;1807;735;3670;1285;0;0;632;Reform
Plymouth Sutton and Devonport;Devon South;75347;10;1210;2362;553;2842;1997;0;242;794;Reform
Pontefract, Castleford and Knottingley;Wakefield and Dewsbury;74210;5;1147;2300;462;3870;1386;0;0;836;Reform
Poole;Bournemouth;72508;10;2758;1483;1026;2986;1026;0;0;721;Reform
Poplar and Limehouse;Hackney and Tower Hamlets;84468;11;1058;2092;757;1186;3651;0;920;335;Green
Portsmouth North;Portsmouth;70447;12;2749;1505;728;3303;1051;0;0;664;Reform
Portsmouth South;Portsmouth;73710;12;1284;2200;1026;2205;2364;0;0;922;Green
Preston;Lancashire West;77400;4;1175;1920;644;2264;2186;0;1563;247;Reform
Putney;Lambeth and Wandsworth;71856;11;1867;2931;1146;936;2425;0;415;280;LAB
Queen's Park and Maida Vale;West London;75558;11;1011;2728;618;1479;3195;0;725;243;Green
Rawmarsh and Conisbrough;Doncaster and Rotherham;69132;5;1046;2406;453;3860;1461;0;774;0;Reform
Rayleigh and Wickford;Essex South East;77180;9;2710;1071;887;4050;762;0;0;519;Reform
Reading Central;Berkshire;73724;12;1525;2526;815;1419;3007;0;0;709;Green
Reading West and Mid Berkshire;Berkshire;68850;12;2836;1841;1008;2250;1312;0;0;753;CON
Redcar;Teesside;70242;3;2387;2042;506;3421;1075;0;0;569;Reform
Redditch;Worcestershire;71017;7;2566;1669;536;3388;995;0;847;0;Reform
Reigate;Surrey East;77103;12;2546;1646;1201;2559;1482;0;0;566;Reform
Ribble Valley;Lancashire West;80484;4;2863;2061;862;2503;1044;0;0;668;CON
Richmond and Northallerton;North Yorkshire;73887;5;3276;1468;1014;2718;919;0;51;554;CON
Richmond Park;South West London;68004;11;1892;922;3970;904;1758;0;0;554;LIB
Rochdale;Manchester North East;70676;4;1019;1993;617;2298;2042;0;2030;0;Reform
Rochester and Strood;Medway and Maidstone;70506;12;2080;1560;793;3576;1393;0;337;261;Reform
Romford;Dagenham and Redbridge;72977;11;2721;1531;687;3187;1032;0;691;150;Reform
Romsey and Southampton North;Southampton;71992;12;3046;719;2587;2201;898;0;0;549;CON
Rossendale and Darwen;Lancashire East;73993;4;1930;2095;685;3124;1637;0;529;0;Reform
Rother Valley;Doncaster and Rotherham;69461;5;2516;1992;576;3344;1075;0;0;497;Reform
Rotherham;Doncaster and Rotherham;75929;5;510;2170;608;3612;1880;0;577;643;Reform
Rugby;Warwickshire;74848;7;2688;1990;710;2662;1159;0;0;791;CON
Ruislip, Northwood and Pinner;Southall;71682;11;3644;1790;1125;1536;1186;0;0;719;CON
Runcorn and Helsby;Cheshire;71955;4;1257;2872;597;2725;1800;0;0;748;LAB
Runnymede and Weybridge;Runnymede;73611;12;2876;1186;1745;2561;991;0;0;641;CON
Rushcliffe;Nottinghamshire South;79206;8;2609;2745;700;1757;1688;0;0;501;LAB
