Country;Constituency;Area;County;Electorate;CON;LAB;LIB;Green;NAT;MIN;UKIP;OTH
England;Watford;East of England;Hertfordshire;70576;2900;5100;1000;300;000;000;600;000
England;Waveney Valley;East of England;Suffolk;70540;3400;2200;600;2000;000;000;1300;500
England;Weald of Kent;South East;Kent;70110;3400;2300;900;1000;000;000;2400;000
England;Wellingborough and Rushden;East Midlands;Northamptonshire;76669;3000;4200;400;500;000;000;1500;400
England;Wells and Mendip Hills;South West;Somerset;69843;3300;1600;3700;400;000;000;900;100
England;Welwyn Hatfield;East of England;Hertfordshire;74535;3100;4300;700;500;000;000;1300;000
England;West Bromwich;West Midlands;Black Country;72208;3200;5100;200;200;000;000;1100;100
England;West Dorset;South West;Dorset;75390;3500;1600;4200;700;000;000;000;000
England;West Ham and Beckton;London;Newham;70590;700;7300;500;700;000;000;500;300
England;West Lancashire;North West;Lancashire;73652;1700;5900;500;500;000;000;1300;000
England;West Suffolk;East of England;Suffolk;76243;2800;2800;800;900;000;000;2300;400
England;West Worcestershire;West Midlands;Hereford and Worcestershire;76638;2700;2400;1600;900;000;000;1900;400
England;Westmorland and Lonsdale;North West;Cumbria;72322;2500;1000;4300;400;000;000;1300;400
England;Weston-super-Mare;South West;Bristol area;70722;3300;3900;800;500;000;000;1500;000
England;Wetherby and Easingwold;Yorkshire and The Humber;North Yorkshire;71455;3100;2600;700;900;000;000;2000;600
England;Whitehaven and Workington;North West;Cumbria;73385;3200;5400;200;200;000;000;1000;000
England;Widnes and Halewood;North West;Cheshire;70865;1000;7000;500;600;000;000;900;100
England;Wigan;North West;Western Manchester;75607;1600;5400;600;600;000;000;1500;200
England;Wimbledon;London;Merton;74641;2400;2100;4500;400;000;000;600;000
England;Winchester;South East;Hampshire;76577;3200;1100;4400;400;000;000;800;000
England;Windsor;South East;Berkshire;74338;2600;2700;1700;800;000;000;1700;600
England;Wirral West;North West;Merseyside;72126;2500;5600;400;500;000;000;1000;000
England;Witham;East of England;Essex;75064;2900;2500;900;1100;000;000;2100;400
England;Witney;South East;Oxfordshire;70042;3400;2000;3300;400;000;000;900;000
England;Woking;South East;Surrey;71737;2900;2000;3800;400;000;000;800;100
England;Wokingham;South East;Berkshire;70235;3300;1600;3800;500;000;000;900;000
England;Wolverhampton North East;West Midlands;Black Country;70449;3700;4700;200;200;000;000;1200;000
England;Wolverhampton South East;West Midlands;Black Country;75685;2800;5700;300;200;000;000;1000;000
England;Wolverhampton West;West Midlands;Black Country;75592;3200;5600;300;100;000;000;900;000
England;Worcester;West Midlands;Hereford and Worcestershire;73928;2200;4200;700;900;000;000;1600;400
England;Worsley and Eccles;North West;Central Manchester;76915;1800;5200;700;600;000;000;1500;300
England;Worthing West;South East;West Sussex;76293;3100;3900;600;500;000;000;1500;400
England;Wycombe;South East;Buckinghamshire;71769;2900;5100;700;400;000;000;600;200
England;Wyre Forest;West Midlands;Hereford and Worcestershire;77015;2900;3000;700;900;000;000;2100;400
