Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Lichfield;Staffordshire;7;2772;1800;747;3028;860;000;000;794;Reform
Lincoln;Lincolnshire;8;1813;2372;727;2344;1969;000;343;431;LAB
Liverpool Garston;Merseyside;4;883;3095;813;2027;2253;000;000;929;LAB
Liverpool Riverside;Merseyside;4;513;2886;409;1847;3666;000;000;679;Green
Liverpool Walton;Merseyside;4;552;3540;405;2742;2097;000;000;665;LAB
Liverpool Wavertree;Merseyside;4;596;2877;603;1515;3757;000;000;653;Green
Liverpool West Derby;Merseyside;4;589;3461;443;2551;2135;000;000;820;LAB
Loughborough;Leicestershire;8;2079;2196;887;2313;2092;000;000;434;Reform
Louth and Horncastle;Lincolnshire;8;2581;1226;680;4070;795;000;000;648;Reform
Lowestoft;Suffolk;9;1870;1605;730;3616;1439;000;000;740;Reform
Luton North;Bedfordshire;9;1597;1880;565;1940;1980;000;2038;000;MIN
Luton South and South Bedfordshire;Bedfordshire;9;1532;1693;607;2113;2035;000;000;2020;Reform
Macclesfield;Cheshire;4;2165;2664;954;2151;1638;000;000;428;LAB
Maidenhead;Berkshire;12;2996;817;2995;1543;1056;000;000;594;CON
Maidstone and Malling;Kent;12;2234;1291;1476;2680;1672;000;000;648;Reform
Makerfield;Western Manchester;4;980;2287;541;4088;1332;000;000;772;Reform
Maldon;Essex;9;2839;1017;1101;3708;735;000;000;600;Reform
Manchester Central;Central Manchester;4;755;2425;517;1863;3655;000;588;197;Green
Manchester Rusholme;Central Manchester;4;553;2376;231;997;5009;000;732;102;Green
Manchester Withington;Central Manchester;4;567;3032;773;920;4179;000;487;042;Green
Mansfield;Nottinghamshire;8;1984;1846;582;3707;1327;000;000;553;Reform
Melksham and Devizes;Wiltshire;10;2933;726;2574;2231;884;000;000;653;CON
Melton and Syston;Leicestershire;8;2528;1473;711;3327;1339;000;000;621;Reform
Meriden and Solihull East;Coventry and Solihull;7;2719;1493;893;3002;1134;000;000;759;Reform
Middlesbrough and Thornaby East;Teesside;3;1298;2204;444;3204;1842;000;847;162;Reform
Middlesbrough South and East Cleveland;Teesside;3;2762;2039;767;2794;1108;000;000;531;Reform
Milton Keynes Central;Buckinghamshire;12;2233;1931;1191;2014;2121;000;000;509;CON
Milton Keynes North;Buckinghamshire;12;2291;2037;1034;2314;1814;000;000;510;Reform
Mitcham and Morden;Merton;11;1245;2877;655;1802;2532;000;667;222;LAB
Morecambe and Lunesdale;Lancashire;4;2067;2021;1311;2729;1492;000;000;379;Reform
New Forest East;Hampshire;12;2823;1060;1391;3077;946;000;000;703;Reform
New Forest West;Hampshire;12;2624;1361;1525;2892;892;000;000;707;Reform
Newark;Nottinghamshire;8;2785;1772;831;3051;1048;000;053;460;Reform
Newbury;Berkshire;12;2779;585;2851;2259;994;000;000;533;LIB
Newcastle upon Tyne Central and West;Newcastle area;3;954;2387;559;2589;2269;000;000;1242;Reform
Newcastle upon Tyne East and Wallsend;Newcastle area;3;836;2552;636;2677;2535;000;331;434;Reform
Newcastle upon Tyne North;Newcastle area;3;1328;2709;1052;1766;2534;000;000;611;LAB
Newcastle-under-Lyme;Staffordshire;7;1969;1928;885;3123;1409;000;000;686;Reform
Newton Abbot;Devon;10;2010;862;2631;2757;1078;000;000;662;Reform
Newton Aycliffe and Spennymoor;Durham;3;1564;2502;683;3211;1470;000;274;294;Reform
Norfolk Mid;Norfolk;9;2514;1567;841;3414;936;000;000;728;Reform
Norfolk North;Norfolk;9;2529;543;2881;2877;645;000;000;525;LIB
Norfolk North West;Norfolk;9;2424;1149;1154;3902;799;000;000;573;Reform
Norfolk South;Norfolk;9;2234;1863;1444;2263;1605;000;000;592;Reform
